,level_0,index,MONTH,POINTS,DAILY_DIFF,TEMP_C,LONGITUDE,LATITUDE,DEPTH,RCLASS,COORDS
0,0,24,2,113.54392_-23.76476,1.8664559999999994,26.53661196423303,113.54392,-23.76476,2.5,Shallow Lagoon,POINT (113.54392 -23.76476)
1,1,65,3,115.5819_-20.4053,1.7323044999999997,28.335219209482183,115.5819,-20.4053,,Outer Reef Flat,POINT (115.5819 -20.4053)
2,2,69,3,116.81685_-20.36574,2.266066499999999,29.387470922007346,116.81685,-20.36574,,Sheltered Reef Slope,POINT (116.81685 -20.36574)
3,3,68,3,116.58748_-20.456,0.9321469999999987,29.06748065120958,116.58748,-20.456,,Plateau,POINT (116.58748 -20.456)
4,4,64,3,115.5645_-20.50627,0.5285229999999999,28.6595713850804,115.5645,-20.50627,7.7,Back Reef Slope,POINT (115.5645 -20.50627)
5,5,60,3,115.4773_-20.5097,1.2173440000000006,28.53782486438038,115.4773,-20.5097,1.0,Outer Reef Flat,POINT (115.4773 -20.5097)
6,6,26,2,113.75322_-23.1305,0.880449500000001,26.768212736942417,113.75322,-23.1305,4.7,Shallow Lagoon,POINT (113.75322 -23.1305)
7,7,34,2,114.3746_-21.6557,0.8244379999999989,27.65420197476527,114.3746,-21.6557,5.9,Sheltered Reef Slope,POINT (114.3746 -21.6557)
8,8,31,2,113.9636_-21.90849,1.3604160000000007,27.517675709947262,113.9636,-21.90849,3.9,Reef Slope,POINT (113.9636 -21.90849)
9,9,32,2,114.15719_-21.87039,1.1015169999999976,28.718743911238207,114.15719,-21.87039,3.7,Back Reef Slope,POINT (114.15719 -21.87039)
10,10,43,2,115.58295_-20.6295,0.5984009999999991,29.24335940526314,115.58295,-20.6295,8.9,Back Reef Slope,POINT (115.58295 -20.6295)
11,11,58,3,115.46157_-20.90193,0.6702934999999997,29.006842990591366,115.46157,-20.90193,4.85,Back Reef Slope,POINT (115.46157 -20.90193)
12,12,63,3,115.5251_-20.78473,0.5749940000000002,28.7473997105735,115.5251,-20.78473,6.7,Back Reef Slope,POINT (115.5251 -20.78473)
13,13,14,1,115.5067_-20.7861,0.8204819999999984,29.83533806151142,115.5067,-20.7861,2.4,Back Reef Slope,POINT (115.5067 -20.7861)
14,14,62,3,115.521366_-20.52137,1.6542999999999992,27.75049280913976,115.521366,-20.52137,2.3,Back Reef Slope,POINT (115.521366 -20.52137)
15,15,59,3,115.46542_-20.95988,1.118828999999998,29.889284819892474,115.46542,-20.95988,3.8,Back Reef Slope,POINT (115.46542 -20.95988)
16,16,51,3,113.7877167_-23.33888333,2.6112430000000018,26.863467435483887,113.7877167,-23.33888333,2.0,Inner Reef Flat,POINT (113.7877167 -23.33888333)
17,17,66,3,115.58355_-20.41855,1.1010000000000026,26.903097647849513,115.58355,-20.41855,2.5,Back Reef Slope,POINT (115.58355 -20.41855)
18,18,4,1,113.78865_-23.2805,1.8840000000000003,28.594653427419356,113.78865,-23.2805,2.0,Outer Reef Flat,POINT (113.78865 -23.2805)
19,19,112,5,115.5912_-20.416417,0.4344000000000001,26.743347156153064,115.5912,-20.416417,7.0,Back Reef Slope,POINT (115.5912 -20.416417)
20,20,53,3,113.9624667_-21.92186667,1.400535999999999,27.817732344086057,113.9624667,-21.92186667,2.0,Inner Reef Flat,POINT (113.9624667 -21.92186667)
21,21,74,4,113.9519333_-21.88978333,1.0302739999999986,27.38601886833859,113.9519333,-21.88978333,7.0,Plateau,POINT (113.9519333 -21.88978333)
22,22,49,3,113.7233_-22.49501667,1.7216750000000012,28.3057391794355,113.7233,-22.49501667,2.0,Outer Reef Flat,POINT (113.7233 -22.49501667)
23,23,56,3,114.16015_-21.86315,1.971779999999999,28.797005612231246,114.16015,-21.86315,3.0,Outer Reef Flat,POINT (114.16015 -21.86315)
